# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	48101
#@/user_id	2e78a248-4bb3-4f88-87b4-60fa7da6ab99
a 	啊	c=4 d=1.03765e-17 t=48101
yao bu yao 	要不要	c=20 d=3.37316e-10 t=48101
yao gei 	要給	c=1 d=4.41379e-85 t=48101
yao he 	藥盒	c=1 d=4.30275e-50 t=48101
yao hui lai 	要回來	c=1 d=1.11602e-56 t=48101
yao kong 	遙控	c=1 d=2.25788e-52 t=48101
yao pin 	藥品	c=1 d=1.64586e-09 t=48101
yao qing 	邀請	c=3 d=2.43837e-45 t=48101
yao qing ni 	要請你	c=1 d=6.97015e-78 t=48101
yao qiu 	要求	c=9 d=0.000165755 t=48101
yao qu 	要去	c=3 d=5.02893e-52 t=48101
yao shi 	要是	c=4 d=8.36124e-13 t=48101
yao shi 	鑰匙	c=1 d=1 t=47694
yao shui 	藥水	c=1 d=1.2899e-83 t=48101
yao shuo 	要說	c=2 d=5.90913e-47 t=48101
yao yao yu zhui 	搖搖欲墜	c=1 d=5.92121e-71 t=48101
yao you 	要有	c=1 d=2.17318e-14 t=48101
yao zai 	要在	c=1 d=8.59802e-18 t=48101
yao zhe me duo 	要這麼多	c=1 d=8.42435e-72 t=48101
ye 	也	c=121 d=0.772138 t=48101
ye 	葉	c=1 d=1 t=41440
ye 	頁	c=0 d=3.26047e-23 t=48101
ye ai rong 	葉愛榮	c=5 d=3.96508 t=46527
ye ban 	夜班	c=4 d=4.32858e-83 t=48101
ye bu 	也不	c=1 d=0.121846 t=48101
ye bu hui 	也不會	c=1 d=1.30264e-81 t=48101
ye bu neng 	也不能	c=2 d=3.19081e-62 t=48101
ye bu zhi dao 	也不知道	c=2 d=5.74463e-09 t=48101
ye de 	也得	c=5 d=2.74691e-35 t=48101
ye dong yuan 	葉冬員	c=2 d=1.99501 t=46178
ye hao 	也好	c=1 d=9.8421e-49 t=48101
ye hui 	也會	c=3 d=8.69006e-55 t=48101
ye jian 	夜間	c=5 d=0.0963276 t=48101
ye jian mo shi 	夜間模式	c=1 d=1.78878e-18 t=48101
ye jiu 	也就	c=1 d=4.65467e-63 t=48101
ye jiu shuo 	也就說	c=2 d=3.34653e-05 t=48101
ye ke 	也可	c=2 d=0.0241131 t=48101
ye ke neng 	也可能	c=1 d=4.6355e-44 t=48101
ye ke yi 	也可以	c=21 d=0.233414 t=48101
ye mei 	也沒	c=3 d=2.39383e-34 t=48101
ye mian 	頁面	c=78 d=0.625691 t=48101
ye neng 	也能	c=1 d=4.0872e-63 t=48101
ye neng gou 	也能夠	c=0 d=3.13146e-48 t=48101
ye shi 	也是	c=14 d=6.34664e-05 t=48101
ye wu 	業務	c=6 d=0.000327193 t=48101
ye xiao 	夜宵	c=1 d=2.33298e-84 t=48101
ye xing 	也行	c=8 d=3.71249e-20 t=48101
ye yao 	也要	c=5 d=0.25284 t=48101
ye ye 	爺爺	c=1 d=1.09753 t=41961
ye yi yang 	也一樣	c=1 d=1 t=44356
ye you 	也有	c=13 d=2.37089e-09 t=48101
ye zi 	椰子	c=21 d=2.50742e-50 t=48101
ye zi cheng 	葉自成	c=2 d=4.50909e-64 t=48101
yi 	一	c=36 d=0.120375 t=48101
yi 	以	c=11 d=0.0720785 t=48101
yi 	已	c=47 d=1.85551 t=48101
yi 	翼	c=1 d=6.35271e-75 t=48101
yi an 	議案	c=0 d=3.49725e-83 t=48101
yi ba 	一把	c=2 d=1.19803e-73 t=48101
yi bai 	一百	c=1 d=1.15275e-84 t=48101
yi ban 	一半	c=2 d=9.85377e-55 t=48101
yi ban 	一版	c=1 d=6.93916e-55 t=48101
yi ban 	一般	c=8 d=2.7145e-13 t=48101
yi bei 	已被	c=1 d=7.96268e-56 t=48101
yi bei zi 	一輩子	c=1 d=6.50467e-59 t=48101
yi ben 	一本	c=2 d=1.27914e-14 t=48101
yi bian 	一遍	c=20 d=5.7048e-07 t=48101
yi bing 	一併	c=1 d=2.41534e-51 t=48101
yi bo 	一波	c=1 d=3.8839e-51 t=48101
yi bu 	一步	c=13 d=1.18412e-09 t=48101
yi bu 	異步	c=1 d=1.41343e-12 t=48101
yi bu dao wei 	一步到位	c=1 d=2.17392e-18 t=48101
yi bu fen 	一部分	c=4 d=1.48183e-32 t=48101
yi bu xiao xin 	一不小心	c=3 d=2.54047e-57 t=48101
yi bu yi bu 	一步一步	c=2 d=1.7418e-23 t=48101
yi chang 	異常	c=17 d=0.212203 t=48101
yi chu 	一處	c=2 d=3.48146e-08 t=48101
yi chu 	溢出	c=17 d=9.25783e-59 t=48101
yi chu 	移出	c=10 d=1.7311 t=48101
yi chu 	移除	c=3 d=0.440432 t=48101
yi ci 	一次	c=17 d=1.91222e-09 t=48101
yi ci xing 	一次性	c=1 d=1 t=42131
yi da dui 	一大堆	c=1 d=4.40717e-38 t=48101
yi da luo 	一大摞	c=1 d=1.89378e-42 t=48101
yi dan 	一單	c=2 d=2.89631e-11 t=48101
yi dao 	一到	c=1 d=1.25574e-32 t=48101
yi di 	異地	c=3 d=1.79897e-26 t=48101
yi dian 	一點	c=23 d=5.43813e-11 t=48101
yi dian dian 	一點點	c=1 d=8.83821e-48 t=48101
yi ding 	一定	c=6 d=3.27976e-05 t=48101
yi ding 	已定	c=1 d=8.19793e-75 t=48101
yi ding yao 	一定要	c=1 d=4.27852e-13 t=48101
yi dong 	移動	c=7 d=3.04895e-27 t=48101
yi dong dao 	移動到	c=1 d=8.11222e-69 t=48101
yi dong duan 	移动端	c=2 d=0.0207543 t=48101
yi du 	一度	c=1 d=4.06267e-51 t=48101
yi du 	已讀	c=2 d=1.13816e-81 t=48101
yi duan 	一段	c=3 d=7.01628e-38 t=48101
yi duan shi jian 	一段時間	c=1 d=1.22091e-54 t=48101
yi dui 	一堆	c=3 d=7.79339e-41 t=48101
yi dui duo 	一對多	c=1 d=2.03642e-14 t=48101
yi dui yi 	一對一	c=5 d=0.00186406 t=48101
yi er 	一二	c=1 d=1 t=42729
yi fa song 	已發送	c=1 d=1 t=47378
yi fang mian 	一方面	c=1 d=2.30082e-09 t=48101
yi fen 	一份	c=5 d=6.55329e-29 t=48101
yi fen 	一分	c=1 d=1.76875e-62 t=48101
yi fu 	衣服	c=2 d=8.87605e-55 t=48101
yi ge 	一個	c=94 d=0.217621 t=48101
yi ge duo yue 	一個多月	c=1 d=0.00318278 t=48101
yi ge ge 	一個個	c=1 d=5.63357e-44 t=48101
yi ge ren 	一個人	c=4 d=0.00251621 t=48101
yi ge xue xiao 	一個學校	c=1 d=1.65401e-67 t=48101
yi ge yue 	一個月	c=24 d=0.0593874 t=48101
yi hang 	一行	c=2 d=0.0995012 t=48101
yi hao 	一號	c=2 d=6.16621e-48 t=48101
yi hou 	以後	c=52 d=0.169483 t=48101
yi hui 	一會	c=8 d=4.22341e-09 t=48101
yi huo 	疑惑	c=1 d=4.17572e-21 t=48101
yi ji 	以及	c=5 d=1.18949e-05 t=48101
yi jia 	一加	c=4 d=2.87492 t=45090
yi jia 	一家	c=3 d=1.13546e-25 t=48101
yi jia yi 	一加一	c=2 d=1.99501 t=46288
yi jian 	一件	c=1 d=1 t=46357
yi jian 	意見	c=2 d=1.55085e-63 t=48101
yi jie jue 	已解決	c=1 d=4.16211e-12 t=48101
yi jing 	已經	c=30 d=0.0287809 t=48101
yi ka tong 	一卡通	c=1 d=6.32103e-75 t=48101
yi kai shi 	一開始	c=9 d=3.77098e-05 t=48101
yi kou jia 	一口價	c=1 d=1.83994e-85 t=48101
yi kuai 	一塊	c=1 d=1.24973e-05 t=48101
yi kuan 	一款	c=2 d=4.62511e-47 t=48101
yi lai 	依賴	c=9 d=2.13096e-40 t=48101
yi lai yu 	依賴於	c=1 d=3.27037e-87 t=48101
yi lian 	一臉	c=1 d=3.51023e-08 t=48101
yi lian meng bi 	一臉懵逼	c=1 d=3.30581e-08 t=48101
yi liang 	一輛	c=1 d=1.3897e-48 t=48101
yi liang ge 	一兩個	c=1 d=1.44214e-72 t=48101
yi liao 	醫療	c=2 d=0.000616284 t=48101
yi lu 	一路	c=1 d=1.68163e-56 t=48101
yi lu shun feng 	一路順風	c=1 d=1.63649e-30 t=48101
yi mian 	一面	c=1 d=6.61444e-50 t=48101
yi ming 	一名	c=1 d=6.43098e-72 t=48101
yi nan za zheng 	疑難雜症	c=1 d=1 t=42118
yi nei 	以內	c=1 d=9.48036e-79 t=48101
yi nian 	一年	c=3 d=1.19182e-35 t=48101
yi nian hou 	一年後	c=1 d=2.11585e-23 t=48101
yi nian nei 	一年內	c=1 d=4.49635e-09 t=48101
yi pi 	一批	c=1 d=3.06935e-76 t=48101
yi pian 	一片	c=0 d=1.51659e-77 t=48101
yi pian 	一篇	c=5 d=3.36803e-55 t=48101
yi pian zhen cheng 	一片真誠	c=1 d=1.5242e-76 t=48101
yi qi 	一期	c=1 d=9.00266e-59 t=48101
yi qi 	一起	c=22 d=3.50765e-15 t=48101
yi qi shua 	一起刷	c=1 d=4.95709e-39 t=48101
yi qian 	一千	c=1 d=8.58869e-64 t=48101
yi qian 	以前	c=3 d=5.78739e-08 t=48101
yi qie 	一切	c=1 d=1.92934e-55 t=48101
yi qun 	一羣	c=1 d=1.46015e-71 t=48101
yi ran 	依然	c=1 d=1.8233e-37 t=48101
yi shang 	以上	c=3 d=1.5553e-49 t=48101
yi shi yong 	已使用	c=7 d=0.00172355 t=48101
yi shuang 	一雙	c=19 d=1.45621e-68 t=48101
yi shuang du xie 	一雙毒鞋	c=1 d=1.37891e-74 t=48101
yi shuang xie 	一雙鞋	c=1 d=2.21731e-74 t=48101
yi si 	已死	c=1 d=6.00355e-57 t=48101
yi si 	意思	c=4 d=3.31324e-05 t=48101
yi sui 	一歲	c=1 d=1.54355e-48 t=48101
yi sun huai 	已損壞	c=1 d=3.8966e-60 t=48101
yi tai 	一臺	c=2 d=0.729789 t=48101
yi tang 	一趟	c=3 d=5.79715e-48 t=48101
yi tao 	一套	c=4 d=8.06234e-44 t=48101
yi ti 	一體	c=2 d=7.92576e-81 t=48101
yi tian 	一天	c=8 d=0.00444934 t=48101
yi tiao 	一條	c=6 d=1.04457e-13 t=48101
yi tui kuan 	已退款	c=1 d=1.2349e-41 t=48101
yi wai 	以外	c=1 d=8.02792e-05 t=48101
yi wai 	意外	c=5 d=3.38238 t=48101
yi wan 	一晚	c=1 d=3.5582e-50 t=48101
yi wan 	一萬	c=1 d=1.18362e-42 t=48101
yi wan shang 	一晚上	c=1 d=4.93656e-49 t=48101
yi wan zhi 	一萬只	c=1 d=1.35046e-64 t=48101
yi wang 	遺忘	c=1 d=2.38424e-75 t=48101
yi wei 	一位	c=2 d=2.2201e-30 t=48101
yi wei 	以爲	c=2 d=1.32403e-08 t=48101
yi wei zhe 	意味着	c=1 d=0.00100779 t=48101
yi wu shi chu 	一無是處	c=1 d=2.03538e-08 t=48101
yi xia 	一下	c=159 d=1.11326 t=48101
yi xia 	以下	c=24 d=0.187308 t=48101
yi xia yi an 	一下議案	c=1 d=3.51478e-82 t=48101
yi xia zi 	一下子	c=3 d=0.00152616 t=48101
yi xiang 	一項	c=2 d=2.19901e-05 t=48101
yi xiang 	意向	c=1 d=0.000225994 t=48101
yi xiao shi 	一小時	c=1 d=2.41567e-82 t=48101
yi xie 	一些	c=28 d=0.00264522 t=48101
yi yan 	一眼	c=1 d=2.20027e-68 t=48101
yi yang 	一樣	c=35 d=0.266314 t=48101
yi yang de 	一樣的	c=1 d=1 t=44615
yi ye 	一頁	c=2 d=1.68398e-43 t=48101
yi yi 	意義	c=2 d=6.59961e-53 t=48101
yi yong 	已用	c=1 d=1 t=47468
yi you 	已有	c=1 d=7.67728e-09 t=48101
yi yuan 	一元	c=1 d=7.99714e-48 t=48101
yi yuan 	醫院	c=1 d=2.80566e-78 t=48101
yi zhang 	一張	c=3 d=1.01401e-46 t=48101
yi zheng tian 	一整天	c=1 d=5.80792e-79 t=48101
yi zhi 	一直	c=42 d=0.140742 t=48101
yi zhi 	一致	c=3 d=0.516851 t=48101
yi zhong 	一種	c=2 d=7.73944e-45 t=48101
yi zhou 	一週	c=1 d=2.50172e-82 t=48101
yi zi 	椅子	c=1 d=8.26598e-84 t=48101
yin 	因	c=3 d=1.76232e-11 t=48101
yin 	銀	c=1 d=1 t=41668
yin cang 	隱藏	c=7 d=2.12248e-52 t=48101
yin cang le 	隱藏了	c=2 d=8.34394e-64 t=48101
yin dao 	引導	c=1 d=3.44248e-14 t=48101
yin dao nin 	引導您	c=1 d=5.51076e-20 t=48101
yin hang 	銀行	c=19 d=0.541129 t=48101
yin hang ka 	銀行卡	c=7 d=8.74794e-07 t=48101
yin liu 	引流	c=2 d=1.24901e-57 t=48101
yin ni 	印尼	c=1 d=7.4077e-59 t=48101
yin pin 	音頻	c=5 d=3.40205e-46 t=48101
yin ru 	引入	c=6 d=5.66103e-13 t=48101
yin si 	隱私	c=2 d=2.93199e-08 t=48101
yin wei 	因爲	c=21 d=3.03594e-06 t=48101
yin xiang 	印象	c=19 d=8.582e-12 t=48101
yin xiang bi ji 	印象筆記	c=5 d=3.08441e-16 t=48101
yin xing 	隱形	c=2 d=1.68729 t=46420
yin ying 	陰影	c=4 d=6.91592e-73 t=48101
yin yong 	引用	c=1 d=3.88522e-55 t=48101
yin yue 	音樂	c=36 d=0.379018 t=48101
yin yue ting 	音樂廳	c=6 d=8.5607e-78 t=48101
yin zhang 	印章	c=3 d=1.75144e-63 t=48101
yin zhi 	音質	c=1 d=1 t=44311
ying 	應	c=2 d=6.42332e-58 t=48101
ying dui 	應對	c=3 d=1.38116e-05 t=48101
ying gai 	應該	c=118 d=0.592071 t=48101
ying gai de 	應該的	c=1 d=1.16081e-19 t=48101
ying gai inboard a 	應該Inboard阿	c=2 d=1.15415e-17 t=48101
ying jian 	硬件	c=2 d=0.900325 t=48101
ying jie bi ye sheng 	應屆畢業生	c=1 d=4.57738e-72 t=48101
ying li 	盈利	c=2 d=2.15735e-75 t=48101
ying she 	映射	c=5 d=9.31095e-14 t=48101
ying su 	罌粟	c=1 d=1.98021e-67 t=48101
ying wen 	英文	c=11 d=0.000124713 t=48101
ying wen ge 	英文歌	c=1 d=1 t=45587
ying wen ming 	英文名	c=6 d=6.47954e-41 t=48101
ying xiang 	影響	c=5 d=3.58236e-12 t=48101
ying xiang li 	影響力	c=2 d=2.54013e-64 t=48101
ying xiao 	營銷	c=1 d=4.88562e-74 t=48101
ying xiong 	英雄	c=1 d=6.2303e-52 t=48101
ying yan 	應驗	c=1 d=2.90609e-80 t=48101
ying ye zhi zhao 	營業執照	c=1 d=4.42865e-07 t=48101
ying yong 	應用	c=4 d=0.000376347 t=48101
ying yong zhong xin 	應用中心	c=1 d=1 t=42376
ying yu 	英語	c=7 d=0.000166609 t=48101
ying yuan 	影院	c=1 d=3.74e-48 t=48101
ying zhi 	硬紙	c=1 d=1.8107e-73 t=48101
yo 	喲	c=2 d=3.9272e-05 t=48101
yong 	永	c=1 d=1 t=44217
yong 	用	c=124 d=0.124351 t=48101
yong bu dao 	用不到	c=1 d=8.39689e-63 t=48101
yong bu le 	用不了	c=2 d=3.19363e-43 t=48101
yong chu 	用處	c=2 d=7.08461e-05 t=48101
yong dao 	用到	c=2 d=5.27275e-30 t=48101
yong de 	用的	c=9 d=0.976093 t=48101
yong du 	擁堵	c=1 d=1.60627e-46 t=48101
yong duo jiu 	用多久	c=4 d=4.82401e-13 t=48101
yong fa 	用法	c=8 d=0.000278804 t=48101
yong guo 	用過	c=8 d=2.62747e-12 t=48101
yong guo le 	用過了	c=1 d=7.48876e-40 t=48101
yong ha 	用哈	c=1 d=3.63081e-23 t=48101
yong hao 	永浩	c=1 d=1.09903e-52 t=48101
yong heng 	永恆	c=4 d=2.89966 t=47214
yong hu 	用戶	c=95 d=0.524663 t=48101
yong hu liang 	用戶量	c=1 d=2.63679e-83 t=48101
yong hu ming 	用戶名	c=7 d=1.25361e-06 t=48101
yong hu shu 	用戶數	c=1 d=5.62573e-57 t=48101
yong hu ti yan 	用戶體驗	c=1 d=3.1842e-67 t=48101
yong jiu 	永久	c=15 d=0.0970778 t=48101
yong jiu 	永九	c=1 d=1 t=46180
yong jiu ban 	永久版	c=2 d=1.77105 t=45270
yong lai 	用來	c=3 d=4.09025e-13 t=48101
yong le 	永樂	c=1 d=1.50549e-19 t=48101
yong le 	用了	c=1 d=0.12307 t=48101
yong li 	用例	c=2 d=5.13628e-45 t=48101
yong li 	用力	c=1 d=2.02234e-50 t=48101
yong shou ji 	用手機	c=1 d=0.460704 t=48101
yong wan 	用完	c=2 d=1.32628 t=45892
yong wan le 	用完了	c=1 d=2.34842e-44 t=48101
yong wo de 	用我的	c=1 d=3.90138e-45 t=48101
yong you 	擁有	c=3 d=0.301194 t=48101
yong yu 	用於	c=4 d=4.48398e-06 t=48101
yong zai 	用在	c=1 d=6.1363e-79 t=48101
yong zhe 	用着	c=1 d=1.08942e-37 t=48101
you 	又	c=26 d=0.838581 t=48101
you 	友	c=4 d=3.87124e-42 t=48101
you 	右	c=2 d=2.44877e-58 t=48101
you 	有	c=184 d=0.634448 t=48101
you 	油	c=1 d=1.97241e-50 t=48101
you 	由	c=8 d=1.30669e-08 t=48101
you bang zhu 	有幫助	c=1 d=4.4724e-05 t=48101
you bei wu huan 	有備無患	c=1 d=9.55123e-49 t=48101
you bi 	右臂	c=0 d=2.70326e-24 t=48101
you bi a hua 	右臂阿華	c=1 d=2.71681e-23 t=48101
you bian 	右邊	c=5 d=9.053e-07 t=48101
you bian 	郵編	c=2 d=0.000287295 t=48101
you bu shi 	又不是	c=1 d=1.96966e-63 t=48101
you cha 	有差	c=1 d=7.9052e-59 t=48101
you cuo 	有錯	c=1 d=1 t=44834
you da an 	有答案	c=1 d=1 t=46966
you dao 	有道	c=3 d=4.13814e-60 t=48101
you dao bi ji 	有道筆記	c=1 d=5.71367e-63 t=48101
you dao li 	有道理	c=2 d=4.48536e-39 t=48101
you dao yun 	有道雲	c=5 d=4.05701e-64 t=48101
you de 	又得	c=2 d=2.22186e-34 t=48101
you de 	有得	c=2 d=1.26649e-21 t=48101
you de 	有的	c=6 d=9.42226e-06 t=48101
you de ren 	有的人	c=3 d=1.21908e-07 t=48101
you de shi hou 	有的時候	c=1 d=1.27819e-64 t=48101
you dian 	優點	c=2 d=3.45539e-58 t=48101
you dian 	有點	c=11 d=3.94692e-05 t=48101
you dian ben 	有點笨	c=1 d=3.89951e-10 t=48101
you dian da 	有點大	c=1 d=2.91975e-47 t=48101
you dian kuai 	有點快	c=1 d=2.36341e-60 t=48101
you dian man 	有點慢	c=2 d=7.4684e-08 t=48101
you dian mang 	有點忙	c=2 d=5.2123e-12 t=48101
you dian wan 	有點晚	c=1 d=8.38519e-76 t=48101
you dian yong 	有點用	c=1 d=1.4987e-54 t=48101
you fei 	郵費	c=1 d=1 t=41655
you ge 	有個	c=4 d=1.88081e-20 t=48101
you ge qun 	有個羣	c=1 d=2.82221e-59 t=48101
you hao 	友好	c=1 d=1.69675e-73 t=48101
you hu 	遊湖	c=1 d=4.38757e-15 t=48101
you hua 	優化	c=18 d=0.245367 t=48101
you hui 	優惠	c=65 d=0.771656 t=48101
you hui quan 	優惠券	c=12 d=0.000293334 t=48101
you ji hui 	有機會	c=2 d=0.000471307 t=48101
you jian 	右鍵	c=1 d=3.1722e-52 t=48101
you jian 	郵件	c=75 d=0.894214 t=48101
you ke neng 	有可能	c=1 d=1 t=44943
you kong 	有空	c=4 d=1.51881e-05 t=48101
you ku 	優酷	c=1 d=2.24158e-55 t=48101
you lai ge 	又來個	c=1 d=3.22947e-86 t=48101
you le 	有了	c=1 d=1.95112e-40 t=48101
you ma 	有嗎	c=2 d=8.60799e-61 t=48101
you me you 	有麼有	c=1 d=5.14049e-84 t=48101
you mei 	優美	c=1 d=1.27333e-78 t=48101
you mei you 	有沒有	c=43 d=6.69613e-06 t=48101
you ming 	有名	c=2 d=0.000495129 t=48101
you ne 	有呢	c=1 d=1 t=44475
you qi 	尤其	c=1 d=5.05276e-58 t=48101
you qian 	有錢	c=3 d=2.09986e-23 t=48101
you qian duo le 	有錢多了	c=1 d=2.11039e-22 t=48101
you qian le 	有錢了	c=1 d=3.96789e-38 t=48101
you qian tu 	有前途	c=1 d=7.56274e-38 t=48101
you qu 	有趣	c=1 d=1 t=42044
you ren 	有人	c=5 d=0.0071546 t=48101
you ru 	有辱	c=0 d=7.05122e-68 t=48101
you ru bai du 	有辱百度	c=1 d=7.08657e-67 t=48101
you sha 	有啥	c=1 d=7.02584e-54 t=48101
you sha yong 	有啥用	c=1 d=9.11203e-54 t=48101
you shang 	憂傷	c=1 d=3.44237e-43 t=48101
you shang fang 	右上方	c=1 d=3.84931e-34 t=48101
you shang jiao 	右上角	c=1 d=1.2653e-33 t=48101
you shen me 	有什麼	c=7 d=0.0450492 t=48101
you shi 	優勢	c=1 d=8.46137e-06 t=48101
you shi 	有事	c=2 d=4.89343e-34 t=48101
you shi hou 	有時候	c=7 d=3.55529e-11 t=48101
you shi jian 	有時間	c=5 d=0.00402593 t=48101
you shou hao xian 	遊手好閒	c=1 d=1.52814e-77 t=48101
you suo 	有所	c=1 d=2.84216e-83 t=48101
you tiao you li 	有條有理	c=1 d=2.36052e-75 t=48101
you wen ti 	有問題	c=13 d=0.474734 t=48101
you xi 	遊戲	c=11 d=0.00225783 t=48101
you xi zhu bo 	遊戲主播	c=1 d=2.33259e-82 t=48101
you xian 	有限	c=14 d=2.90113e-05 t=48101
you xian gong si 	有限公司	c=17 d=5.7864e-06 t=48101
you xiang 	又像	c=1 d=1.42682e-64 t=48101
you xiang 	郵箱	c=268 d=4.73784 t=48101
you xiang le 	郵箱了	c=1 d=5.19337e-28 t=48101
you xiao 	有效	c=2 d=0.0128424 t=48101
you xiao qi 	有效期	c=1 d=1 t=48042
you xie 	有些	c=21 d=0.00144056 t=48101
you xie di fang 	有些地方	c=1 d=2.52042e-52 t=48101
you xie ren 	有些人	c=1 d=9.35383e-68 t=48101
you xie shi 	有些事	c=1 d=5.42502e-12 t=48101
you xing 	有幸	c=1 d=4.46071e-33 t=48101
you yi ci 	有一次	c=1 d=1.56938e-08 t=48101
you yi dian 	有一點	c=2 d=2.03566e-39 t=48101
you yi ge 	有一個	c=4 d=5.95311e-46 t=48101
you yi ku 	优衣库	c=1 d=5.81187e-87 t=48101
you yin 	誘因	c=1 d=5.24612e-88 t=48101
you yong 	有用	c=4 d=3.87136e-13 t=48101
you yong bu 	有用不	c=1 d=5.15659e-62 t=48101
you you 	又有	c=2 d=1.69293e-34 t=48101
you yu 	有餘	c=2 d=2.24325e-05 t=48101
you yu 	由於	c=3 d=2.52922e-08 t=48101
you zan 	有讚	c=4 d=3.85742e-51 t=48101
you zheng 	郵政	c=3 d=1.39701e-45 t=48101
you zheng chu xu 	郵政儲蓄	c=1 d=1.05845e-80 t=48101
you zhong 	有種	c=1 d=1.65772e-64 t=48101
yu 	俞	c=2 d=9.51113e-62 t=48101
yu 	於	c=4 d=0.124307 t=48101
yu 	渝	c=1 d=9.30243e-62 t=48101
yu 	與	c=23 d=0.955997 t=48101
yu ba bu neng 	欲罷不能	c=1 d=6.2756e-49 t=48101
yu bei 	預備	c=1 d=1 t=45937
yu cai 	育才	c=2 d=7.01885e-05 t=48101
yu ce 	預測	c=2 d=0.000704531 t=48101
yu chi 	魚翅	c=2 d=1.99005 t=46298
yu dao 	遇到	c=17 d=0.0147247 t=48101
yu dao guo 	遇到過	c=1 d=2.07071e-34 t=48101
yu dao le 	遇到了	c=2 d=0.0026852 t=48101
yu e 	餘額	c=2 d=2.25751e-41 t=48101
yu fa 	語法	c=9 d=4.28813e-10 t=48101
yu ge 	雨哥	c=11 d=3.28495e-79 t=48101
yu han 	禦寒	c=1 d=1 t=40995
yu jia 	瑜伽	c=1 d=3.38351e-46 t=48101
yu jia zai 	預加載	c=1 d=3.03261e-52 t=48101
yu kuai 	愉快	c=1 d=1 t=45881
yu lan 	預覽	c=1 d=0.173774 t=48101
yu lao shi 	俞老師	c=2 d=1.65991e-62 t=48101
yu lao shi 	餘老師	c=1 d=2.96792e-63 t=48101
yu liu 	預留	c=2 d=1.13937e-86 t=48101
yu long 	玉龍	c=0 d=1.08266e-53 t=48101
yu lu 	語錄	c=1 d=3.6718e-08 t=48101
yu mei ren 	虞美人	c=2 d=0.000188766 t=48101
yu men 	鬱悶	c=1 d=8.29073e-31 t=48101
yu ming 	域名	c=28 d=2.44368 t=48101
yu qi 	預期	c=1 d=9.18297e-57 t=48101
yu she 	預設	c=1 d=8.84724e-60 t=48101
yu shi 	於是	c=2 d=2.77989e-64 t=48101
yu yan 	語言	c=10 d=0.0294685 t=48101
yu yin 	語音	c=3 d=0.196912 t=48101
yu zhi xiang qing 	欲知詳情	c=1 d=6.43536e-80 t=48101
yuan 	元	c=101 d=0.82044 t=48101
yuan 	冤	c=1 d=2.24944e-08 t=48101
yuan 	原	c=11 d=2.51057e-06 t=48101
yuan 	員	c=1 d=6.09344e-26 t=48101
yuan 	媛	c=1 d=4.61253e-15 t=48101
yuan 	源	c=18 d=0.818731 t=48101
yuan 	猿	c=1 d=5.73858e-26 t=48101
yuan 	苑	c=8 d=1.95545e-77 t=48101
yuan 	遠	c=2 d=5.93288e-06 t=48101
yuan 	院	c=3 d=6.51885e-78 t=48101
yuan cheng 	遠程	c=35 d=0.932394 t=48101
yuan duan 	遠端	c=6 d=1.16416e-51 t=48101
yuan fen 	緣分	c=2 d=1.44372e-47 t=48101
yuan gong 	員工	c=56 d=5.65315e-26 t=48101
yuan jia 	原價	c=3 d=7.39292e-74 t=48101
yuan jian 	元件	c=1 d=8.82948e-07 t=48101
yuan lai 	原來	c=8 d=0.0222592 t=48101
yuan lai ru ci 	原來如此	c=1 d=6.1365e-50 t=48101
yuan ma 	源碼	c=7 d=4.11859e-06 t=48101
yuan shi 	原始	c=1 d=1 t=47846
yuan su 	元素	c=3 d=5.84754e-12 t=48101
yuan tong 	圓通	c=1 d=3.27605e-78 t=48101
yuan tu 	原圖	c=48 d=1.03353 t=48101
yuan xian 	原先	c=2 d=1.28844e-11 t=48101
yuan xing 	原型	c=1 d=4.33846e-59 t=48101
yuan yi 	願意	c=3 d=8.80049e-25 t=48101
yuan yin 	原因	c=18 d=0.15035 t=48101
yuan zhu bi 	圓珠筆	c=2 d=1.63844e-07 t=48101
yue 	悅	c=1 d=3.04781e-52 t=48101
yue 	月	c=52 d=1.1867 t=48101
yue 	越	c=3 d=0.000983616 t=48101
yue da 	越大	c=1 d=3.31584e-73 t=48101
yue du 	閱讀	c=3 d=1.17726e-05 t=48101
yue fen 	月份	c=3 d=2.60213e-45 t=48101
yue han 	約翰	c=1 d=1.32787e-42 t=48101
yue lai 	越來	c=1 d=9.62691e-83 t=48101
yue lai yue 	越來越	c=5 d=1.02613e-54 t=48101
yue nan 	越南	c=7 d=1.24872e-49 t=48101
yue ru 	月入	c=1 d=0.000476044 t=48101
yue ru guo wan 	月入過萬	c=1 d=1.85596e-40 t=48101
yue shou ru 	月收入	c=1 d=1.09638e-53 t=48101
yue shu 	約束	c=2 d=4.42289e-13 t=48101
yue wan 	越晚	c=1 d=3.26648e-73 t=48101
yue xin 	月薪	c=1 d=3.35727e-72 t=48101
yue ye 	越野	c=1 d=1.89565e-83 t=48101
yue yu 	越獄	c=8 d=3.18006e-58 t=48101
yun 	雲	c=7 d=0.19205 t=48101
yun da 	韵达	c=2 d=5.92342e-46 t=48101
yun dong 	運動	c=6 d=8.96902e-15 t=48101
yun dong chang 	運動場	c=3 d=1.17858e-77 t=48101
yun dong fu 	運動服	c=1 d=1 t=41631
yun duan 	雲端	c=3 d=5.00963e-16 t=48101
